term,created_date,course_info,audience,section,question,Number of Responses,Course Mean,Dept. Mean,Univ. Mean,Course Median,Dept. Median,Univ. Median,count_5,count_4,count_3,count_2,count_1,comment_prompt,comments_json,demographics_json
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,18,4.78,4.59,4.5,5.0,5.0,5.0,14,4,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,18,4.67,4.38,4.36,5.0,5.0,5.0,12,6,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,18,4.44,4.42,4.26,4.5,5.0,5.0,9,8,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,18,4.72,4.68,4.69,5.0,5.0,5.0,13,5,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,18,4.61,4.62,4.56,5.0,5.0,5.0,11,7,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,17,4.53,4.51,4.45,5.0,5.0,5.0,9,8,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Learning Related Questions,In-class sessions were helpful for learning.,18,4.78,4.63,4.29,5.0,5.0,5.0,14,4,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,18,4.61,4.44,4.36,5.0,5.0,5.0,12,5,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Learning Related Questions,This course was intellectually challenging.,18,4.61,4.51,4.38,5.0,5.0,5.0,13,4,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for BIOT5621-01 Protein Principles in Biotech  (Dennis Fernandes),22,Learning Related Questions,I learned a lot in this course.,18,4.72,4.64,4.48,5.0,5.0,5.0,13,5,0,0,0,,,
